va_acc,vb_acc
0.1487084065728643,0.1487049682924663
0.20994326462927906,0.20994512686808534
0.24094825160479633,0.24094717063886292
0.267282361462901,0.26728388741471953
0.2889434938860067,0.2889460004292192
0.2920261675274158,0.2920292607389521
0.29307679575396023,0.29307946501944376
0.29209501793294307,0.2920973655873893
0.28074545597946793,0.28074718028179185
0.26894837130272264,0.26894836056568533
0.25670415973493776,0.2567026798989127
0.2395332718103462,0.23953002104479934
0.2227687286103683,0.22276468640432057
0.2064108897407629,0.20640606445964316
0.18848620064285845,0.1884817581918105
0.17134578024818045,0.1713422737974276
0.15499002584453617,0.15498706672704007
0.13895512852225783,0.13895205995115623
0.12379568165274667,0.12379151709770869
0.10951151007550643,0.10950932048117146
0.09630976804058956,0.09630777060352648
0.08393574556390244,0.08393429483649387
0.07238941195362764,0.07238844989417542
0.0615226648483355,0.061521439341486114
0.051532523843182375,0.05153200143678433
0.04241866426881354,0.042418599779806165
0.034098835149955896,0.034099049557862665
0.02668080345066748,0.026681066377356163
0.020164429405517575,0.0201646526258235
0.01623014662028631,0.01486398797998997
0.01155804750205671,0.010328382394316831
0.006148016148689489,0.00655780013850269
0.002034618983801829,0.0028897523635674606
-0.00036118092314360454,0.0005738067857500491
-0.0010393911878325854,-0.0003898816510191285
-0.0003813068761475579,-0.00031534516318366805
1.1286783414450673e-05,-0.00024783139060238513
0.00013838914813577529,-0.00018605156819863589
5.163140483809723e-05,-0.00014062915689859034
-3.527537001391897e-07,-0.00010237586243572217
-1.7563210288319355e-05,-6.145271612232678e-05
-6.577880795203136e-06,-3.556335848345574e-05
1.1129755193593872e-08,-1.1291517911326704e-05
2.2037296096982926e-06,1.0336601651481935e-05
8.261295128905408e-07,1.888356630909464e-05
-3.6682985573629573e-10,3.5110995134120114e-05
-2.7573761669654604e-07,4.5405907557051866e-05
-1.0338843603193315e-07,5.0293661572888094e-05
2.091255483016389e-11,5.425919905212419e-05
3.448116224346588e-08,4.133830347799636e-05
1.292929084913937e-08,3.1670199335395006e-05
-2.1643770314637424e-12,3.071926276823585e-05
-4.3115392356909355e-09,3.0210975103608644e-05
-3.484895364469677e-09,1.8396685405753927e-05
-2.724648231118839e-09,2.7304089778644427e-05
-2.0311611575582654e-09,9.062306225190794e-05
-1.5178743922744871e-09,3.263785452724378e-05
-1.0502541322755035e-09,3.334702871921374e-05
-6.275222372082483e-10,3.3518406738163895e-05
-3.370751780686386e-10,3.2387516899397105e-05
-7.538434559714279e-11,3.121738839688207e-05
1.577134620449428e-10,3.002023151339133e-05
2.9866880741490227e-10,2.821618054767083e-05
4.241648298286154e-10,2.6435084036733918e-05
5.324869526859522e-10,2.4675685083671884e-05
5.813996687401231e-10,2.266059521696612e-05
6.217831317951768e-10,2.071520625075409e-05
6.53612105290594e-10,1.8844748228615775e-05
6.490634282501408e-10,1.6967948167923826e-05
6.42478805132782e-10,1.5187979333245601e-05
