sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
0,0.16308251631346468,0.06709261849245109,3,2,1,0,0,0,7.925689944389096,101,2
1,0.20175130577006212,0.10914447901880059,3,2,1,0,0,0,8.034595567993094,130,3
2,0.14477292038986087,0.06266409033258262,0,0,0,0,0,0,7.333160814118932,116,2
3,0.16308251631346468,0.06709261849245109,3,2,1,0,0,0,7.925689944389096,101,2
4,0.059751698913485564,0.04047289920970032,0,0,0,0,0,0,8.016094481793663,141,2
5,0.051021450480485404,0.0379394311819572,0,0,0,0,0,0,8.043564433706663,172,2
6,0.3282385504095478,0.13038690581636542,6,2,4,1,0,0,8.855489913338944,200,3
7,0.04445812954808422,0.025465023838340022,0,0,0,1,0,0,9.114679756677699,200,2
8,0.045800901310353526,0.026798169717877997,0,0,0,1,0,0,9.25028111569832,200,2
9,0.3443760050854716,0.16828372108835354,3,1,2,1,0,0,8.88556105031763,200,3
10,0.045800901310353526,0.026798169717877997,0,0,0,1,0,0,9.25028111569832,200,2
11,0.09590119835861892,0.06533868038561566,0,0,0,1,0,0,8.805820548976365,200,3
12,0.04449779352767914,0.025466996687124106,0,0,0,1,0,0,9.072186425288384,200,2
13,0.303581812385278,0.10492409331792246,6,2,4,0,0,0,7.870951368375098,101,2
14,0.05523058954749431,0.038769081727804244,0,0,0,0,0,0,9.238368811282518,193,2
15,0.04445812954808422,0.025465023838340022,0,0,0,1,0,0,9.114679756677699,200,2
16,0.04445812954808422,0.025465023838340022,0,0,0,1,0,0,9.114679756677699,200,2
17,0.3282385504095478,0.13038888210628813,6,2,4,1,0,0,8.823809134465996,200,3
18,0.37859862226286756,0.17142142598010388,6,2,4,1,0,0,9.163876598930681,200,4
19,0.045800901310353526,0.026798169717877997,0,0,0,1,0,0,9.25028111569832,200,2
20,0.21965584820568487,0.09981430917853164,3,2,1,1,0,0,8.569592112199205,200,3
21,0.04445812954808422,0.025465023838340022,0,0,0,1,0,0,9.114679756677699,200,2
22,0.09401159763860494,0.06612466338450558,0,0,0,1,0,0,8.812218635152494,200,3
23,0.04660877247090764,0.028223807734252402,0,0,0,1,0,0,9.12094907530235,200,2
24,0.303581812385278,0.10492409331792246,6,2,4,0,0,0,7.870951368375098,101,2
25,0.2550602525627477,0.11443581862305194,3,2,1,1,0,0,8.851409889906874,200,3
26,0.31572747828745,0.12446180538407244,3,2,1,1,0,0,8.875101055890802,200,3
27,0.303581812385278,0.10492409331792246,6,2,4,0,0,0,7.870951368375098,101,2
28,0.25303039453735116,0.14422118094508238,0,0,0,0,0,2,9.413665244417748,101,2
29,0.32101144079086963,0.11748425993692536,6,2,4,1,0,0,7.325835232436067,200,3
30,0.44672353046058566,0.18594971188427978,6,2,4,1,0,0,8.963156703691299,200,4
31,0.6859440701520727,0.40341144489129493,10,1,9,1,0,0,9.193546048386663,200,3
32,0.04445812954808422,0.025465023838340022,0,0,0,1,0,0,9.114679756677699,200,2
33,0.04289108941506767,0.02358058634810603,0,0,0,1,0,0,9.761947144026822,200,2
34,0.7800568220910254,0.4786830738916329,10,1,9,1,0,0,9.487850560759686,200,4
35,1.1540123915767067,0.34690068569059873,0,0,0,2,0,0,8.076922402262849,200,4
36,0.04289108941506767,0.02358058634810603,0,0,0,1,0,0,9.761947144026822,200,2
37,0.7384251577011709,0.44879418548755345,10,1,9,1,0,0,9.369309687564643,200,4
38,0.678669378855961,0.3934515059607634,10,1,9,1,0,0,9.197988137642005,200,3
39,0.04289108941506767,0.02358058634810603,0,0,0,1,0,0,9.761947144026822,200,2
40,0.29067593852526297,0.14801342268131182,0,0,0,1,0,0,8.175415700393174,200,3
41,0.6859440701520727,0.40341144489129493,10,1,9,1,0,0,9.193546048386663,200,3
42,0.19135806382695808,0.13698194614079073,0,0,0,1,0,0,9.264737430773112,200,3
43,0.6859440701520727,0.40341144489129493,10,1,9,1,0,0,9.160608095748914,200,3
44,1.3143367864325648,0.49388475826981404,6,4,2,0,0,0,8.232887406389267,102,2
45,0.6624516554912178,0.37885355939488663,10,1,9,0,0,0,8.502332043646494,93,2
46,1.3481575425938173,0.5149015980199778,6,4,2,1,0,0,9.050805267703481,200,3
47,0.7689747136388818,0.47170938064520385,10,1,9,0,0,0,12.042705918351864,130,3
48,0.6859440701520727,0.40341144489129493,10,1,9,1,0,0,9.193546048386663,200,3
49,0.10850934228033424,0.07744882572512464,0,0,0,1,0,1,9.234246794986595,200,3
50,0.32625363639105054,0.14949738316484176,9,2,7,1,0,0,9.914190005991813,200,3
51,0.12062551560608324,0.08553883782432012,0,0,0,0,0,0,12.42615947116413,141,2
52,0.7385473370795564,0.44883830511390516,10,1,9,1,0,0,9.37070414914679,200,4
53,0.03179678824831823,0.021189766353052454,0,0,0,1,0,0,9.246465522153398,200,2
54,0.6624516554912178,0.37885355939488663,10,1,9,0,0,0,8.502332043646494,93,2
55,2.1629326281903536,0.522874925204162,0,0,0,2,0,5,11.334187329535853,200,3
56,0.997703170464006,0.13981783249838606,0,0,0,2,0,5,8.635491837090234,200,3
57,0.20627665368721432,0.13964188146455792,0,0,0,1,0,2,9.255242472067794,200,4
