sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
0,5.019240238618219,1.0550901430742738,0,0,0,0,0,0,7.930177502589893,129,3
1,5.345855767371277,1.104499687355796,0,0,0,0,0,0,9.12224160226391,129,3
2,0.11829596179393582,0.041029798650916244,0,0,0,0,0,0,8.450418891576813,129,2
3,5.019240238618219,1.0550901430742738,0,0,0,0,0,0,7.930177502589893,129,3
4,0.11829596179393582,0.041029798650916244,0,0,0,0,0,0,8.450418891576813,129,2
5,5.194439810671869,1.1636789871098796,0,0,0,0,0,0,8.210675273108663,129,3
6,2.0920106323542838,0.5593501255619092,0,0,0,0,0,0,7.446656257296832,127,2
7,4.550437918085359,0.6244793321258202,0,0,0,0,0,0,7.89384256234696,129,2
8,2.0920106323542838,0.5593501255619092,0,0,0,0,0,0,7.446656257296832,127,2
9,5.933232147744045,1.1210321216907504,0,0,0,0,0,0,7.887163234854542,132,3
10,5.023107037961397,1.0948850055670856,0,0,0,0,0,0,7.9057165727031755,127,3
11,2.0920106323542838,0.5593501255619092,0,0,0,0,0,0,7.446656257296832,127,2
12,4.550437918085359,0.6244793321258202,0,0,0,0,0,0,7.89384256234696,129,2
13,5.2824463249489515,1.0946457245798085,0,0,0,0,0,0,7.935349203261579,129,3
14,5.6608706216052465,1.4144918651662268,0,0,0,0,0,0,8.313800739875262,129,4
15,4.550437918085359,0.6244793321258202,0,0,0,0,0,0,7.89384256234696,129,2
16,7.576012554230729,1.578588575625538,1,1,0,1,0,5,9.260696585482014,127,4
17,7.098062105656956,1.5043789791107762,1,1,0,1,0,5,10.03451436765239,98,3
18,7.558396657215248,1.566895778978199,1,1,0,1,0,5,9.241868111015808,127,4
19,7.93077665300238,1.6020455553795596,2,2,0,1,0,5,9.256517202572969,129,4
20,3.6158900947602106,1.0342370914759507,0,0,0,0,0,0,8.511792922924933,129,3
21,3.758621917719407,1.2832960035213874,0,0,0,0,0,0,8.80657888850526,129,3
22,9.22520303641602,1.8706061721360696,2,2,0,1,0,5,8.544761190376615,169,5
23,5.6087348261964785,1.5206763012595446,0,0,0,0,0,0,7.941646734920838,135,4
24,3.1962691881047816,1.0510281001845498,0,0,0,0,0,0,7.8596280869581125,129,3
25,3.1962691881047816,1.0510281001845498,0,0,0,0,0,0,7.8596280869581125,129,3
26,9.553281608419029,1.8291703516100262,0,0,0,1,0,5,10.17551285402553,129,4
27,7.532276490388316,1.5740479880857112,1,1,0,1,0,5,9.261733811300145,129,4
28,8.526676827693114,1.5868579758445063,3,3,0,0,0,1,9.99240179212181,129,3
29,2.439431074464237,0.6839253511454287,0,0,0,0,0,0,8.412063226301946,129,2
30,8.526676827693114,1.5868579758445063,3,3,0,0,0,1,9.99240179212181,129,3
31,6.533401580172968,0.9600802591737029,1,1,0,0,0,1,11.52650391646506,85,2
32,0,0,0,0,0,0,0,0,8.038818618153453,129,1
33,6.533401580172968,0.9600802591737029,1,1,0,0,0,1,11.52650391646506,85,2
34,0,0,0,0,0,0,0,0,13.275934711450981,59,1
35,1.749589643646324,0.6015068935027524,2,2,0,0,0,1,10.402900003164621,129,2
36,2.3723120490215606,0.6595978923802466,0,0,0,0,0,0,8.415595161163283,120,2
37,6.180370643139124,0.965612004889218,0,0,0,0,0,3,11.328792686171912,85,2
38,6.438586707584903,0.9882217678536218,1,1,0,0,0,1,11.689427831925356,80,2
39,0,0,0,0,0,0,0,0,8.980816914909173,85,1
40,6.533401580172968,0.9600802591737029,1,1,0,0,0,1,11.52650391646506,85,2
41,8.516295707503067,1.5762283655046057,2,2,0,0,0,1,9.964067772726867,129,3
42,6.533401580172968,0.9600802591737029,1,1,0,0,0,1,11.52650391646506,85,2
43,8.763003939856105,1.7127085288214492,3,3,0,0,0,1,10.026516873338867,129,3
44,8.526676827693114,1.5868579758445063,3,3,0,0,0,1,9.99240179212181,129,3
45,8.763003939856105,1.7127085288214492,3,3,0,0,0,1,10.026516873338867,129,3
46,8.305027183965258,1.616424909692322,0,0,0,1,0,5,9.798026063702995,129,3
47,8.16485456036805,1.08490392204281,0,0,0,1,0,5,14.608647943836965,85,2
48,7.722711069850338,1.5524497179497112,4,4,0,0,0,0,9.938343936326222,129,3
49,2.4223726971598816,0.7048015334805703,0,0,0,0,0,0,8.396141274139348,129,2
50,0.6256123870022399,0.24456231607006584,1,1,0,1,0,5,10.372208946249101,96,2
51,1.7946683107019106,0.4897020724645516,1,1,0,0,0,0,10.338504482590062,129,2
52,6.3302812438211795,0.9993979015282151,0,0,0,0,0,0,11.487001520568986,85,2
53,7.770379548741172,1.6153524885642132,3,3,0,0,0,0,9.954309078279708,129,3
54,6.3302812438211795,0.9993979015282151,0,0,0,0,0,0,11.487001520568986,85,2
55,7.071491441511729,1.1056243172545202,0,0,0,0,0,0,12.933304939393153,74,2
56,9.82715351613686,1.766224477252933,4,4,0,1,0,5,12.849456841466449,129,3
57,2.2885115838543624,0.6198703042078241,0,0,0,0,0,0,8.429643825505673,109,2
58,6.3302812438211795,0.9993979015282151,0,0,0,0,0,0,11.487001520568986,85,2
59,7.722711069850338,1.5524497179497112,4,4,0,0,0,0,9.938343936326222,129,3
60,9.015927825481828,2.146631006181962,6,4,2,0,0,0,10.299900888047961,129,4
61,11.740759693207888,2.314727211574388,3,3,0,1,0,5,13.426599346782744,129,4
62,9.608544782790588,3.1315897564207735,6,4,2,0,0,0,8.878133050852218,154,5
63,9.006264571354272,2.3652930968926795,3,3,0,0,0,0,11.077932839461683,129,4
64,9.015927825481828,2.146631006181962,6,4,2,0,0,0,10.299900888047961,129,4
65,8.990590475888663,2.1236927134462227,4,3,1,0,0,0,10.402864424230614,129,4
66,9.355425806665323,3.1669880351414124,6,4,2,0,0,0,9.433011056896817,142,5
67,12.890089996475073,4.6049460615421145,5,5,0,0,0,0,11.226998976238416,129,4
68,7.868992058534363,1.69989364747628,1,1,0,0,0,0,11.787875731012619,74,3
69,9.022779037634796,2.161514906799063,8,5,3,0,0,0,10.298636264996205,129,4
70,9.022779037634796,2.161514906799063,8,5,3,0,0,0,10.298636264996205,129,4
71,8.866028173681215,2.164885590375181,8,5,3,0,0,0,10.28690458855559,131,4
72,8.877642790998749,2.15384864827762,2,2,0,0,0,0,10.056652463269524,129,4
73,8.532609511565871,3.0660048118941217,6,6,0,0,0,0,8.794846164553348,178,5
74,10.494701592636744,2.1790935792560635,1,1,0,1,0,5,12.457503239635532,129,4
75,10.341302436107906,2.2401370016731352,3,3,0,1,0,5,11.304362861147453,129,4
76,3.5364884828718934,1.4187072350401717,0,0,0,0,0,0,9.114292956102828,129,3
77,9.022779037634796,2.161514906799063,8,5,3,0,0,0,10.298636264996205,129,4
78,11.02629646313224,2.1235415701193294,2,2,0,1,0,5,14.282837349634354,66,3
79,10.315976110307684,2.953881412064495,7,6,1,0,0,5,10.258584793690972,129,5
80,8.866028173681215,2.164885590375181,8,5,3,0,0,0,10.28690458855559,131,4
81,12.278520751465878,4.218083882145891,5,5,0,0,0,0,11.062960605827488,129,4
82,3.754574864674094,1.501570940658389,0,0,0,0,0,0,9.178344121291893,129,3
83,4.627632595338316,1.4431634923840042,1,1,0,0,0,0,9.976354695712056,129,3
84,9.04330467525677,2.1709855802823284,9,7,2,0,0,0,10.241740295843089,129,4
85,9.711773110040038,2.8956596272666477,11,7,4,3,0,15,9.66701835223169,107,5
86,9.399660825957401,2.6691929397517593,2,2,0,3,0,15,9.678134205061342,107,4
87,5.139551632297929,1.7751387725012509,1,1,0,3,0,15,9.237406524575057,107,4
88,9.66995614976944,2.908411792745381,6,5,1,0,0,0,11.106744618232844,129,5
89,9.399660825957401,2.6691929397517593,2,2,0,3,0,15,9.678134205061342,107,4
90,9.745576722033949,2.90373875598434,1,1,0,1,0,5,10.003724934037379,129,5
91,3.9406241882547266,1.732747076846558,0,0,0,0,0,0,9.200252179489503,129,4
92,10.366264326492253,2.707138439758863,6,4,2,0,0,0,9.983675410202443,129,5
93,9.711773110040038,2.8956596272666477,11,7,4,3,0,15,9.66701835223169,107,5
94,9.711773110040038,2.8956596272666477,11,7,4,3,0,15,9.66701835223169,107,5
95,10.410555175637821,2.927945856190761,4,4,0,1,0,5,10.442274416238655,129,5
96,9.711773110040038,2.8956596272666477,11,7,4,3,0,15,9.66701835223169,107,5
97,9.474564778214834,2.320105311064084,6,5,1,0,0,0,10.435315087123616,129,4
98,9.711773110040038,2.8956596272666477,11,7,4,3,0,15,9.66701835223169,107,5
